Code	Terminology	Kind	Usage	Line
mvis	reveal	Command	Finder : Finder items	1711
mvol	mount volume	Command	Standard Additions : File Commands	1712
mvpl	positioned at	Parameter of command: move	Finder : Standard Suite	1713
nama	arranged by name	Enumeration	Finder : Enumerations	1714
name	named	Enumeration	AppleScript Language	1715
narr	not arranged	Enumeration	Finder : Enumerations	1716
nd  	number or date	Class	AppleScript Language	1720
ndim	natural dimensions	Property of class: movie data	System Events : Movie File Suite	1721
nds	number, date or text	Class	AppleScript Language	1722
nec?	necessity	Parameter of command: update	Finder : Finder items	1723
neg	negate	Command	AppleScript Language	1726
news	news URL	Enumeration	Standard Additions : Internet Suite	1728
nfo4	info for	Command	Standard Additions : File Commands	1732
nmbr	number	Class	AppleScript Language	1733
nmbr	numbers	Class	AppleScript Language	1734
nmwr	for	Parameter of command: write	Standard Additions : File Read/Write	1735
nmxt	name extension	Property of class: file information	Standard Additions : File Commands	1736
nmxt	name extension	Property of class: item	Finder : Finder items	1737
nntp	nntp URL	Enumeration	Standard Additions : Internet Suite	1738
no  	no	Enumeration	AppleScript Language	1745
no  	no	Enumeration	Cocoa Scripting : Standard Suite	1746
no  	no	Enumeration	Standard Additions : Scripting Commands	1747
none	none	Enumeration	Finder : Enumerations	1750
noop	launch	Command	AppleScript Language	1751
norm	normal	Enumeration	System Events : QuickTime File Suite	1752
NOT	not	Command	AppleScript Language	1754
nov	November	Class	AppleScript Language	1756
npnl	Name & Extension panel	Enumeration	Finder : Enumerations	1757
ns  	number or string	Class	AppleScript Language	1758
ntoc	ASCII character	Command	Standard Additions : String Commands	1762
null	null	Class	AppleScript Language	1765
nume	numeric strings	Enumeration	AppleScript Language	1766
nwfl	choose file name	Command	Standard Additions : User Interaction	1770
oapp	run	Command	AppleScript Language	1771
obj	reference	Class	AppleScript Language	1772
obj	references	Class	AppleScript Language	1773
oct	October	Class	AppleScript Language	1776
oded	editors	Enumeration	Standard Additions : File Commands	1777
oded	editors folder	Enumeration	Standard Additions : File Commands	1778
odoc	open	Command	AppleScript Language	1779
odoc	open	Command	Cocoa Scripting : Standard Suite	1780
odoc	open	Command	Finder : Standard Suite	1781
odoc	open	Command	System Events : Disk-Folder-File Suite	1782
odst	stationery	Enumeration	Standard Additions : File Commands	1783
odst	stationery folder	Enumeration	Standard Additions : File Commands	1784
offs	offset	Command	Standard Additions : String Commands	1793
offs	start time	Property of class: track	System Events : QuickTime File Suite	1794
ofst	off styles	Property of class: text style info	AppleScript Language	1795
okbt	OK button name	Parameter of command: choose from list	Standard Additions : User Interaction	1796
on  	on	Parameter of command: Call•subroutine	AppleScript Language	1806
onst	on styles	Property of class: text style info	AppleScript Language	1808
onto	onto	Parameter of command: Call•subroutine	AppleScript Language	1809
open	open for access	Command	Standard Additions : File Read/Write	1817
OR  	or	Command	AppleScript Language	1821
orie	orientation	Property of class: UI element	System Events : Processes Suite	1822
orig	original item	Property of class: alias file	Finder : Files	1823
outl	outline	Class	System Events : Processes Suite	1841
outl	outline	Enumeration	AppleScript Language	1842
outl	outlines	Class	System Events : Processes Suite	1843
outo	out of	Parameter of command: Call•subroutine	AppleScript Language	1844
ouvl	output volume	Parameter of command: set volume	Standard Additions : Miscellaneous Commands	1847
ouvl	output volume	Property of class: volume settings	Standard Additions : Miscellaneous Commands	1848
over	over	Parameter of command: Call•subroutine	AppleScript Language	1849
ownr	owner privileges	Property of class: item	Finder : Finder items	1850
ozs	ounces	Class	AppleScript Language	1851
pack	package	Class	Finder : Files	1852
pack	packages	Class	Finder : Files	1853
padv	Advanced Preferences panel	Enumeration	Finder : Enumerations	1855
pALL	properties	Property of class: FTP item	Standard Additions : Internet Suite	1857
pALL	properties	Property of class: Internet address	Standard Additions : Internet Suite	1858
pALL	properties	Property of class: item	Cocoa Scripting : Standard Suite	1859
pALL	properties	Property of class: item	Finder : Finder items	1860
pALL	properties	Property of class: URL	Standard Additions : Internet Suite	1861
pALL	properties	Property of class: web page	Standard Additions : Internet Suite	1862
pALL	properties	Property of class: window	Finder : Window classes	1863
panl	current panel	Property of class: information window	Finder : Window classes	1866
panl	current panel	Property of class: preferences window	Finder : Window classes	1867
pare	parent	Property of class: script	AppleScript Language	1871
PASS	with password	Parameter of command: mount volume	Standard Additions : File Commands	1881
pass	using password	Parameter of command: handle CGI request	Standard Additions : Internet Suite	1882
pbnd	bounds	Property of class: item	Finder : Finder items	1887
pbnd	bounds	Property of class: movie data	System Events : Movie File Suite	1888
pbnd	bounds	Property of class: window	AppleScript Language	1890
pbnd	bounds	Property of class: window	Cocoa Scripting : Standard Suite	1892
pbnd	bounds	Property of class: window	Finder : Window classes	1893
pcap	application process	Class	Finder : Legacy suite	1894
pcap	application process	Class	System Events : Processes Suite	1895
pcap	application processes	Class	Finder : Legacy suite	1896
pcap	application processes	Class	System Events : Processes Suite	1897
pcda	desk accessory process	Class	Finder : Legacy suite	1898
pcda	desk accessory process	Class	System Events : Processes Suite	1899
pcda	desk accessory processes	Class	Finder : Legacy suite	1900
pcda	desk accessory processes	Class	System Events : Processes Suite	1901
pcli	clipboard	Property of class: application	AppleScript Language	1902
pcli	clipboard	Property of class: application	Finder : Finder Basics	1903
pClp	set the clipboard to	Command	Standard Additions : Clipboard Commands	1904
pcls	class	Class	AppleScript Language	1905
pcls	class	Property of class: item	Cocoa Scripting : Standard Suite	1906
pcls	class	Property of class: item	Finder : Finder items	1907
pcls	class	Property of class: UI element	System Events : Processes Suite	1908
pcls	classes	Class	AppleScript Language	1909
pcmp	computer container	Property of class: application	Finder : Finder Basics	1910
pcnt	contents	Property of class: audio file	System Events : Audio File Suite	1911
pcnt	contents	Property of class: movie file	System Events : Movie File Suite	1918
pcnt	contents	Property of class: property list file	System Events : Property List Suite	1921
pcnt	contents	Property of class: QuickTime file	System Events : QuickTime File Suite	1922
pcnt	contents	Property of class: selection-object	AppleScript Language	1923
pcnt	contents	Property of class: XML file	System Events : XML Suite	1926
pdhd	desktop shows hard disks	Property of class: preferences	Finder : Type Definitions	1927
pdim	dimensions	Property of class: track	System Events : QuickTime File Suite	1928
pdlg	print dialog	Parameter of command: print	Cocoa Scripting : Standard Suite	1929
pDNS	DNS form	Property of class: Internet address	Standard Additions : Internet Suite	1930
pdoc	pictures folder	Enumeration	Standard Additions : File Commands	1931
pdoc	pictures folder	Property of class: application	System Events : System Events Suite	1932
pdoc	pictures folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	1933
pdoc	print	Command	AppleScript Language	1934
pdoc	print	Command	Cocoa Scripting : Standard Suite	1935
pdoc	print	Command	Finder : Standard Suite	1936
pdrm	desktop shows removable media	Property of class: preferences	Finder : Type Definitions	1937
pdsv	desktop shows connected servers	Property of class: preferences	Finder : Type Definitions	1938
pedu	editable URL	Parameter of command: choose URL	Standard Additions : User Interaction	1939
perf	perform	Command	System Events : Processes Suite	1941
perm	write permission	Parameter of command: open for access	Standard Additions : File Read/Write	1942
pexa	expandable	Property of class: container	Finder : Containers and folders	1944
pexc	completely expanded	Property of class: container	Finder : Containers and folders	1945
pexp	expanded	Enumeration	AppleScript Language	1946
pexp	expanded	Property of class: container	Finder : Containers and folders	1947
pfrp	Finder preferences	Property of class: application	Finder : Finder Basics	1948
pgnp	General Preferences panel	Enumeration	Finder : Enumerations	1949
phys	physical size	Property of class: disk item	System Events : Disk-Folder-File Suite	1951
phys	physical size	Property of class: item	Finder : Finder items	1952
phys	size	Enumeration	Finder : Enumerations	1953
pi  	pi	Property of class: application	AppleScript Language	1954
picd	picture CD appeared	Command	Digital Hub OSAX : Digital Hub Actions	1955
pick	pick	Deprecated terminology	System Events : Hidden Suite	1956
picp	picture path	Property of class: user	System Events : Accounts Suite	1957
PICT	picture	Class	AppleScript Language	1958
PICT	pictures	Class	AppleScript Language	1959
pidx	index	Property of class: column	Finder : Type Definitions	1960
pidx	index	Property of class: item	Finder : Finder items	1961
pidx	index	Property of class: label	Finder : Type Definitions	1962
pidx	index	Property of class: window	AppleScript Language	1963
pidx	index	Property of class: window	Finder : Window classes	1965
pidx	index	Property of class: window	System Events : Standard Suite	1966
pinf	type property info	Class	AppleScript Language	1967
pins	insertion location	Property of class: application	Finder : Finder Basics	1968
pipd	dotted decimal form	Property of class: Internet address	Standard Additions : Internet Suite	1969
pisf	frontmost	Property of class: application	AppleScript Language	1970
pisf	frontmost	Property of class: application	Cocoa Scripting : Standard Suite	1972
pisf	frontmost	Property of class: application	Finder : Finder Basics	1973
pisf	frontmost	Property of class: process	Finder : Legacy suite	1974
pisf	frontmost	Property of class: process	System Events : Processes Suite	1975
pjst	justification	Property of class: line	AppleScript Language	1976
pkgf	package folder	Property of class: disk item	System Events : Disk-Folder-File Suite	1977
pklg	Languages panel	Enumeration	Finder : Enumerations	1978
pkpg	Plugins panel	Enumeration	Finder : Enumerations	1979
plan	plain	Enumeration	AppleScript Language	1981
plbp	Label Preferences panel	Enumeration	Finder : Enumerations	1984
plcd	language code	Property of class: writing code info	AppleScript Language	1985
plif	property list file	Class	System Events : Property List Suite	1987
plif	property list files	Class	System Events : Property List Suite	1988
plii	property list item	Class	System Events : Property List Suite	1989
plii	property list items	Class	System Events : Property List Suite	1990
plst	with parameters	Parameter of command: run script	Standard Additions : Scripting Commands	1992
pmin	type parameter info	Class	AppleScript Language	1996
pmnd	miniaturized	Property of class: window	Cocoa Scripting : Standard Suite	1997
pmod	modal	Property of class: window	AppleScript Language	1998
pmod	modal	Property of class: window	Cocoa Scripting : Standard Suite	2000
pmod	modal	Property of class: window	Finder : Window classes	2001
pmss	slide show	Enumeration	System Events : QuickTime File Suite	2002
pnam	name	Enumeration	Finder : Enumerations	2003
pnam	name	Property of class: action	System Events : Processes Suite	2004
pnam	name	Property of class: annotation	System Events : QuickTime File Suite	2005
pnam	name	Property of class: application	AppleScript Language	2006
pnam	name	Property of class: application	Cocoa Scripting : Standard Suite	2008
pnam	name	Property of class: application	Finder : Finder Basics	2009
pnam	name	Property of class: attribute	System Events : Processes Suite	2010
pnam	name	Property of class: column	Finder : Type Definitions	2011
pnam	name	Property of class: disk item	System Events : Disk-Folder-File Suite	2015
pnam	name	Property of class: document	Cocoa Scripting : Standard Suite	2017
pnam	name	Property of class: domain	System Events : Disk-Folder-File Suite	2018
pnam	name	Property of class: file information	Standard Additions : File Commands	2019
pnam	name	Property of class: folder action	System Events : Folder Actions Suite	2020
pnam	name	Property of class: FTP item	Standard Additions : Internet Suite	2021
pnam	name	Property of class: item	Finder : Finder items	2023
pnam	name	Property of class: item	System Events : Disk-Folder-File Suite	2024
pnam	name	Property of class: label	Finder : Type Definitions	2025
pnam	name	Property of class: login item	System Events : Login Items Suite	2026
pnam	name	Property of class: process	Finder : Legacy suite	2028
pnam	name	Property of class: process	System Events : Processes Suite	2029
pnam	name	Property of class: property list item	System Events : Property List Suite	2030
pnam	name	Property of class: script	AppleScript Language	2031
pnam	name	Property of class: script	System Events : Folder Actions Suite	2032
pnam	name	Property of class: text flow	AppleScript Language	2033
pnam	name	Property of class: track	System Events : QuickTime File Suite	2034
pnam	name	Property of class: UI element	System Events : Processes Suite	2035
pnam	name	Property of class: URL	Standard Additions : Internet Suite	2036
pnam	name	Property of class: user	System Events : Accounts Suite	2037
pnam	name	Property of class: web page	Standard Additions : Internet Suite	2038
pnam	name	Property of class: window	Cocoa Scripting : Standard Suite	2039
pnam	name	Property of class: window	Finder : Window classes	2040
pnam	name	Property of class: XML attribute	System Events : XML Suite	2041
pnam	name	Property of class: XML data	System Events : XML Suite	2042
pnam	name	Property of class: XML element	System Events : XML Suite	2043
pnwt	new window target	Property of class: preferences	Finder : Type Definitions	2044
pocv	new windows open in column view	Property of class: preferences	Finder : Type Definitions	2045
ponw	folders open in new windows	Property of class: preferences	Finder : Type Definitions	2046
popB	pop up button	Class	System Events : Processes Suite	2048
popB	pop up buttons	Class	System Events : Processes Suite	2049
posn	position	Property of class: item	Finder : Finder items	2053
posn	position	Property of class: UI element	System Events : Processes Suite	2054
posn	position	Property of class: window	Finder : Window classes	2057
post	with posted data	Parameter of command: handle CGI request	Standard Additions : Internet Suite	2058
posx	POSIX path	Property of class: disk item	System Events : Disk-Folder-File Suite	2059
posx	POSIX path	Property of class: script	System Events : Folder Actions Suite	2060
ppcb	choose application	Command	Standard Additions : User Interaction	2061
ppdf	printer descriptions	Enumeration	Standard Additions : File Commands	2062
ppdf	printer descriptions folder	Enumeration	Standard Additions : File Commands	2063
ppor	port	Property of class: Internet address	Standard Additions : Internet Suite	2064
ppth	path	Property of class: disk item	System Events : Disk-Folder-File Suite	2066
ppth	path	Property of class: document	Cocoa Scripting : Standard Suite	2068
ppth	path	Property of class: folder action	System Events : Folder Actions Suite	2069
ppth	path	Property of class: login item	System Events : Login Items Suite	2070
ppth	path	Property of class: script	System Events : Folder Actions Suite	2071
prcs	process	Class	Finder : Legacy suite	2073
prcs	process	Class	System Events : Processes Suite	2074
prcs	processes	Class	Finder : Legacy suite	2075
prcs	processes	Class	System Events : Processes Suite	2076
prdp	print depth	Property of class: application	AppleScript Language	2078
prdt	with properties	Parameter of command: duplicate	AppleScript Language	2079
prdt	with properties	Parameter of command: duplicate	Cocoa Scripting : Standard Suite	2080
prdt	with properties	Parameter of command: make	AppleScript Language	2081
prdt	with properties	Parameter of command: make	Cocoa Scripting : Standard Suite	2082
prdt	with properties	Parameter of command: make	Finder : Standard Suite	2083
prdt	with properties	Parameter of command: open	Finder : Standard Suite	2084
prdt	with properties	Parameter of command: print	Cocoa Scripting : Standard Suite	2085
prdt	with properties	Parameter of command: print	Finder : Standard Suite	2086
pref	preferences	Enumeration	Standard Additions : File Commands	2090
pref	preferences folder	Enumeration	Standard Additions : File Commands	2091
pref	preferences folder	Property of class: application	System Events : System Events Suite	2092
pref	preferences folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	2093
pref	preferences folder	Property of class: domain	System Events : Disk-Folder-File Suite	2094
prep	preposition	Class	AppleScript Language	2095
prep	prepositions	Class	AppleScript Language	2096
prfr	preferred rate	Property of class: QuickTime data	System Events : QuickTime File Suite	2103
prfv	preferred volume	Property of class: QuickTime data	System Events : QuickTime File Suite	2104
prln	print length	Property of class: application	AppleScript Language	2106
prmd	presentation mode	Property of class: QuickTime data	System Events : QuickTime File Suite	2108
prmp	with prompt	Parameter of command: choose application	Standard Additions : User Interaction	2109
prmp	with prompt	Parameter of command: choose file	Standard Additions : User Interaction	2110
prmp	with prompt	Parameter of command: choose folder	Standard Additions : User Interaction	2111
prmp	with prompt	Parameter of command: choose from list	Standard Additions : User Interaction	2112
prmp	with prompt	Parameter of command: choose remote application	Standard Additions : User Interaction	2113
prmt	with prompt	Parameter of command: choose file name	Standard Additions : User Interaction	2114
prnt	printmonitor	Enumeration	Standard Additions : File Commands	2115
prnt	printmonitor folder	Enumeration	Standard Additions : File Commands	2116
proI	progress indicator	Class	System Events : Processes Suite	2121
proI	progress indicators	Class	System Events : Processes Suite	2123
prop	properties	Class	AppleScript Language	2125
prop	property	Class	AppleScript Language	2126
prsz	presentation size	Property of class: QuickTime data	System Events : QuickTime File Suite	2130
prsz	resizable	Property of class: window	AppleScript Language	2132
prsz	resizable	Property of class: window	Cocoa Scripting : Standard Suite	2134
prsz	resizable	Property of class: window	Finder : Window classes	2135
prvw	shows icon preview	Property of class: icon view options	Finder : Type Definitions	2138
psbr	Call•subroutine	Command	AppleScript Language	2139
pscd	script code	Property of class: writing code info	AppleScript Language	2140
psct	writing code	Class	AppleScript Language	2141
psct	writing code	Property of class: text	AppleScript Language	2142
pset	print settings	Class	Cocoa Scripting : Type Definitions	2143
psid	Sidebar Preferences panel	Enumeration	Finder : Enumerations	2144
psin	in	Parameter of command: offset	Standard Additions : String Commands	2145
psnx	all name extensions showing	Property of class: preferences	Finder : Type Definitions	2146
psof	of	Parameter of command: offset	Standard Additions : String Commands	2148
pspd	stationery	Property of class: alias	System Events : Disk-Folder-File Suite	2149
pspd	stationery	Property of class: file	Finder : Files	2150
pspd	stationery	Property of class: file	System Events : Disk-Folder-File Suite	2151
pstr	Pascal string	Class	AppleScript Language	2152
pstr	Pascal strings	Class	AppleScript Language	2153
psxf	POSIX file	Class	Standard Additions : Miscellaneous Commands	2154
psxp	POSIX path	Property of class: alias	AppleScript Language	2155
psxp	POSIX path	Property of class: file	AppleScript Language	2156
psxp	POSIX path	Property of class: file specification	AppleScript Language	2157
psxp	POSIX path	Property of class: POSIX file	Standard Additions : Miscellaneous Commands	2158
ptit	titled	Property of class: window	AppleScript Language	2159
ptit	titled	Property of class: window	Cocoa Scripting : Standard Suite	2161
ptit	titled	Property of class: window	Finder : Window classes	2162
ptlr	partial result	Parameter of command: error	AppleScript Language	2163
ptsz	size	Parameter of command: info for	Standard Additions : File Commands	2164
ptsz	size	Property of class: attribute run	Cocoa Scripting : Text Suite	2165
ptsz	size	Property of class: character	Cocoa Scripting : Text Suite	2166
ptsz	size	Property of class: disk item	System Events : Disk-Folder-File Suite	2167
ptsz	size	Property of class: file information	Standard Additions : File Commands	2168
ptsz	size	Property of class: item	Finder : Finder items	2169
ptsz	size	Property of class: paragraph	Cocoa Scripting : Text Suite	2170
ptsz	size	Property of class: text	AppleScript Language	2171
ptsz	size	Property of class: text	Cocoa Scripting : Text Suite	2172
ptsz	size	Property of class: UI element	System Events : Processes Suite	2173
ptsz	size	Property of class: word	Cocoa Scripting : Text Suite	2176
ptxe	text encoding	Property of class: web page	Standard Additions : Internet Suite	2177
pubb	public folder	Enumeration	Standard Additions : File Commands	2178
pubb	public folder	Property of class: application	System Events : System Events Suite	2179
pubb	public folder	Property of class: user domain object	System Events : Disk-Folder-File Suite	2180
punc	punctuation	Enumeration	AppleScript Language	2182
pURL	URL	Property of class: FTP item	Standard Additions : Internet Suite	2183
pURL	URL	Property of class: item	Finder : Finder items	2184
pURL	URL	Property of class: web page	Standard Additions : Internet Suite	2185
pusc	scheme	Property of class: URL	Standard Additions : Internet Suite	2186
pusd	partition space used	Property of class: process	Finder : Legacy suite	2187
pusd	partition space used	Property of class: process	System Events : Processes Suite	2188
pvew	current view	Property of class: Finder window	Finder : Window classes	2189
pvis	visible	Property of class: application	Finder : Finder Basics	2191
pvis	visible	Property of class: column	Finder : Type Definitions	2192
pvis	visible	Property of class: disk item	System Events : Disk-Folder-File Suite	2193
pvis	visible	Property of class: file information	Standard Additions : File Commands	2194
pvis	visible	Property of class: process	Finder : Legacy suite	2195
pvis	visible	Property of class: process	System Events : Processes Suite	2196
pvis	visible	Property of class: window	AppleScript Language	2198
pvis	visible	Property of class: window	Cocoa Scripting : Standard Suite	2200
pvis	visible	Property of class: window	Finder : Window classes	2201
pvwd	preview duration	Property of class: movie data	System Events : Movie File Suite	2202
pvwt	preview time	Property of class: movie data	System Events : Movie File Suite	2203
pwnd	preferences window	Class	Finder : Window classes	2204
pzum	zoomed	Property of class: window	AppleScript Language	2206
pzum	zoomed	Property of class: window	Cocoa Scripting : Standard Suite	2208
pzum	zoomed	Property of class: window	Finder : Window classes	2209
qdel	quit delay	Property of class: application	System Events : System Events Suite	2210
QDpt	point	Class	AppleScript Language	2211
qdrt	bounding rectangle	Class	AppleScript Language	2212
qobj	class info	Command	AppleScript Language	2213
qrts	quarts	Class	AppleScript Language	2214
Qscr	scripting additions folder	Property of class: application	System Events : System Events Suite	2215
qtfd	QuickTime data	Class	System Events : QuickTime File Suite	2216
qtff	QuickTime file	Class	System Events : QuickTime File Suite	2217
qtff	QuickTime files	Class	System Events : QuickTime File Suite	2218
quit	quit	Command	AppleScript Language	2219
quit	quit	Command	Cocoa Scripting : Standard Suite	2220
quit	quit	Command	Finder : Standard Suite	2221
quot	quote	Property of class: application	AppleScript Language	2222
radB	radio button	Class	System Events : Processes Suite	2223
radB	radio buttons	Class	System Events : Processes Suite	2225
rand	random number	Command	Standard Additions : Miscellaneous Commands	2227
rapp	reopen	Command	AppleScript Language	2228
RApw	password	Parameter of command: do shell script	Standard Additions : Miscellaneous Commands	2229
RApw	password	Property of class: URL	Standard Additions : Internet Suite	2230
RAun	user name	Parameter of command: do shell script	Standard Additions : Miscellaneous Commands	2232
RAun	user name	Property of class: URL	Standard Additions : Internet Suite	2233
rbfr	before	Parameter of command: read	Standard Additions : File Read/Write	2234
rdat	data	Class	AppleScript Language	2235
rdfm	from	Parameter of command: read	Standard Additions : File Read/Write	2237
rdfr	for	Parameter of command: read	Standard Additions : File Read/Write	2238
rdto	to	Parameter of command: read	Standard Additions : File Read/Write	2239
rdut	until	Parameter of command: read	Standard Additions : File Read/Write	2240
rdwr	read write	Enumeration	Finder : Enumerations	2241
read	read	Command	Standard Additions : File Read/Write	2242
read	read only	Enumeration	Finder : Enumerations	2243
reco	record	Class	AppleScript Language	2244
reco	records	Class	AppleScript Language	2245
refn	to	Parameter of command: write	Standard Additions : File Read/Write	2247
refr	referred by	Parameter of command: handle CGI request	Standard Additions : Internet Suite	2248
reg?	registering applications	Parameter of command: update	Finder : Finder items	2250
reli	relevance indicator	Class	System Events : Processes Suite	2255
reli	relevance indicators	Class	System Events : Processes Suite	2256
rest	rest	Property of class: list	AppleScript Language	2270
rest	restart	Command	Finder : Legacy suite	2271
rest	restart	Command	System Events : Power Suite	2272
ret	return	Property of class: application	AppleScript Language	2274
revt	accepts remote events	Property of class: process	Finder : Legacy suite	2276
revt	accepts remote events	Property of class: process	System Events : Processes Suite	2277
rght	right	Enumeration	AppleScript Language	2280
rgrp	radio group	Class	System Events : Processes Suite	2281
rgrp	radio groups	Class	System Events : Processes Suite	2282
rmfa	remove action from	Command	System Events : Folder Actions Suite	2295
rmte	application responses	Enumeration	AppleScript Language	2296
rndD	down	Enumeration	Standard Additions : Miscellaneous Commands	2298
rndN	to nearest	Enumeration	Standard Additions : Miscellaneous Commands	2299
rndS	as taught in school	Enumeration	Standard Additions : Miscellaneous Commands	2300
rndU	up	Enumeration	Standard Additions : Miscellaneous Commands	2301
rndZ	toward zero	Enumeration	Standard Additions : Miscellaneous Commands	2302
role	role	Property of class: UI element	System Events : Processes Suite	2303
rond	round	Command	Standard Additions : Miscellaneous Commands	2306
rout	routing suppressed	Parameter of command: duplicate	Finder : Standard Suite	2308
rout	routing suppressed	Parameter of command: move	Finder : Standard Suite	2309
rpth	path to resource	Command	Standard Additions : File Commands	2321
rslt	result	Property of class: application	AppleScript Language	2322
rtsp	streaming multimedia URL	Enumeration	Standard Additions : Internet Suite	2324
rtyp	as	Parameter of command: choose application	Standard Additions : User Interaction	2325
rtyp	as	Parameter of command: data size	AppleScript Language	2326
rtyp	as	Parameter of command: data size	Finder : Standard Suite	2327
rtyp	as	Parameter of command: do shell script	Standard Additions : Miscellaneous Commands	2328
rtyp	as	Parameter of command: path to	Standard Additions : File Commands	2329
rtyp	as	Parameter of command: the clipboard	Standard Additions : Clipboard Commands	2330
rvse	reverse	Property of class: list	AppleScript Language	2333
sat	Saturday	Class	AppleScript Language	2337
save	save	Command	AppleScript Language	2338
save	save	Command	Cocoa Scripting : Standard Suite	2339
savo	replacing	Parameter of command: store script	Standard Additions : Scripting Commands	2340
savo	saving	Parameter of command: close	AppleScript Language	2341
savo	saving	Parameter of command: close	Cocoa Scripting : Standard Suite	2342
savo	saving	Parameter of command: quit	AppleScript Language	2343
savo	saving	Parameter of command: quit	Cocoa Scripting : Standard Suite	2344
sbrl	subrole	Property of class: UI element	System Events : Processes Suite	2347
sbsc	subscript	Enumeration	AppleScript Language	2348
sbwi	sidebar width	Property of class: Finder window	Finder : Window classes	2349
scmn	script menu enabled	Property of class: application	System Events : System Events Suite	2351
scnd	seconds	Class	AppleScript Language	2352
scnd	seconds	Property of class: date	AppleScript Language	2353
scnm	executing by	Parameter of command: handle CGI request	Standard Additions : Internet Suite	2354
scpt	script	Class	AppleScript Language	2355
scpt	script	Class	System Events : Folder Actions Suite	2356
scpt	scripts	Class	AppleScript Language	2358
scpt	scripts	Class	System Events : Folder Actions Suite	2359
scr$	scripts folder	Property of class: domain	System Events : Disk-Folder-File Suite	2360
scrƒ	scripts folder	Enumeration	Standard Additions : File Commands	2361
scra	scroll area	Class	System Events : Processes Suite	2362
scra	scroll areas	Class	System Events : Processes Suite	2363
scrb	scroll bar	Class	System Events : Processes Suite	2365
scrb	scroll bars	Class	System Events : Processes Suite	2366
scrQ	scripts folder	Property of class: application	System Events : System Events Suite	2370
scsy	in	Parameter of command: run script	Standard Additions : Scripting Commands	2376
sdat	shared documents	Enumeration	Standard Additions : File Commands	2379
sdat	shared documents folder	Enumeration	Standard Additions : File Commands	2380
sdev	control strip modules	Enumeration	Standard Additions : File Commands	2381
sdev	control strip modules folder	Enumeration	Standard Additions : File Commands	2382
sdev	control strip modules folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	2383
sdoc	handle CGI request	Command	Standard Additions : Internet Suite	2384
sdsk	startup disk	Property of class: application	Finder : Finder Basics	2385
sdsk	startup disk	Property of class: application	System Events : System Events Suite	2386
seed	with seed	Parameter of command: random number	Standard Additions : Miscellaneous Commands	2395
selE	selected	Property of class: UI element	System Events : Processes Suite	2404
sele	selection	Property of class: application	AppleScript Language	2405
sele	selection	Property of class: application	Finder : Finder Basics	2406
seof	set eof	Command	Standard Additions : File Read/Write	2415
sep	September	Class	AppleScript Language	2416
set2	to	Parameter of command: set eof	Standard Additions : File Read/Write	2422
setd	set	Command	Cocoa Scripting : Standard Suite	2423
sf  	alias or string	Class	AppleScript Language	2426
sfsz	calculates folder sizes	Property of class: list view options	Finder : Type Definitions	2427
sgrp	group	Class	System Events : Processes Suite	2428
sgrp	group	Property of class: item	Finder : Finder items	2429
sgrp	groups	Class	System Events : Processes Suite	2430
shad	shadow	Enumeration	AppleScript Language	2431
shdf	shutdown folder	Enumeration	Standard Additions : File Commands	2434
shdf	shutdown folder	Property of class: Classic domain object	System Events : Disk-Folder-File Suite	2435
shdf	shutdown items	Enumeration	Standard Additions : File Commands	2436
shdf	shutdown items folder	Enumeration	Standard Additions : File Commands	2437
shdt	short date string	Property of class: date	AppleScript Language	2438
sheE	sheet	Class	System Events : Processes Suite	2440
sheE	sheets	Class	System Events : Processes Suite	2442
shic	shows icon	Property of class: column view options	Finder : Type Definitions	2445
shor	short	Enumeration	Standard Additions : File Read/Write	2453
shor	small integer	Class	AppleScript Language	2454
shpc	showing package contents	Parameter of command: choose file	Standard Additions : User Interaction	2457
shpc	showing package contents	Parameter of command: choose folder	Standard Additions : User Interaction	2458
shpr	shows preview column	Property of class: column view options	Finder : Type Definitions	2459
shut	shut down	Command	Finder : Legacy suite	2467
shut	shut down	Command	System Events : Power Suite	2468
siav	AppleScript version	Property of class: system information	Standard Additions : Miscellaneous Commands	2469
sibv	boot volume	Property of class: system information	Standard Additions : Miscellaneous Commands	2470
sicn	computer name	Property of class: system information	Standard Additions : Miscellaneous Commands	2471
sics	CPU speed	Property of class: system information	Standard Additions : Miscellaneous Commands	2472
sict	CPU type	Property of class: system information	Standard Additions : Miscellaneous Commands	2473
siea	primary Ethernet address	Property of class: system information	Standard Additions : Miscellaneous Commands	2475
sigt	system info	Command	Standard Additions : Miscellaneous Commands	2476
siid	user ID	Property of class: system information	Standard Additions : Miscellaneous Commands	2477
siip	IPv4 address	Property of class: system information	Standard Additions : Miscellaneous Commands	2478
sikv	AppleScript Studio version	Property of class: system information	Standard Additions : Miscellaneous Commands	2479
siln	long user name	Property of class: system information	Standard Additions : Miscellaneous Commands	2480
sing	small real	Class	AppleScript Language	2481
sipm	physical memory	Property of class: system information	Standard Additions : Miscellaneous Commands	2482
sirr	system information	Class	Standard Additions : Miscellaneous Commands	2483
sisn	short user name	Property of class: system information	Standard Additions : Miscellaneous Commands	2484
sisv	system version	Property of class: system information	Standard Additions : Miscellaneous Commands	2485
site	sites folder	Enumeration	Standard Additions : File Commands	2486
